d       s       a       m_i     
2       1       0       1 
3       2       1       1 1 
4       3       1       1 1 1 
5       3       2       1 3 1 
6       4       1       1 3 7 1 
7       4       4       1 1 3 7 
8       5       2       1 3 1 7 23 
9       5       13      1 1 5 1 27 
10      5       7       1 3 5 3 25 
11      5       14      1 1 5 9 21 
12      5       11      1 1 3 13 27 
13      5       4       1 3 7 11 3 
14      6       1       1 3 1 13 31 47 
15      6       16      1 3 3 5 13 17 
16      6       13      1 1 7 3 13 51 
17      6       22      1 3 3 11 7 63 
18      6       19      1 1 1 7 3 53 
19      6       25      1 3 5 11 3 43 
20      7       1       1 1 7 5 19 59 59 
21      7       32      1 1 7 9 15 25 63 
22      7       4       1 3 7 7 27 5 17 
23      7       8       1 3 1 5 7 51 69 
24      7       7       1 3 3 11 23 5 35 
25      7       56      1 1 5 1 3 17 59 
26      7       14      1 3 7 7 3 51 57 
27      7       28      1 3 7 11 17 1 17 
28      7       19      1 1 1 11 25 45 3 
29      7       50      1 1 5 15 23 53 79 
30      7       21      1 3 3 3 19 31 39 
31      7       42      1 1 1 9 9 21 23 
32      7       31      1 1 3 5 31 13 97 
33      7       62      1 1 1 15 9 39 3 
34      7       37      1 3 1 1 27 55 37 
35      7       41      1 3 7 11 21 49 17 
36      7       55      1 3 3 9 31 37 95 
37      7       59      1 1 1 1 7 35 95 
38      8       14      1 1 5 15 15 61 11 211 
39      8       56      1 1 7 7 29 33 127 171 
40      8       21      1 3 5 9 17 27 85 95 
41      8       22      1 3 7 1 25 43 35 21 
42      8       38      1 3 5 15 9 17 43 253 
43      8       47      1 1 5 11 27 45 37 147 
44      8       49      1 1 7 5 7 35 29 191 
45      8       50      1 3 1 1 15 33 21 125 
46      8       52      1 1 1 7 31 41 33 11 
47      8       67      1 1 7 7 27 9 111 209 
48      8       70      1 3 7 15 1 57 63 43 
49      8       84      1 3 3 13 1 51 5 51 
50      8       97      1 3 5 3 27 17 103 247 
51      8       103     1 3 7 7 11 27 51 103 
52      8       115     1 3 3 1 23 21 65 135 
53      8       122     1 1 7 9 1 7 71 251 
54      9       8       1 3 1 5 11 31 43 129 225 
55      9       13      1 1 1 5 15 15 127 225 439 
56      9       16      1 1 3 13 27 45 103 65 313 
57      9       22      1 3 3 15 13 31 27 231 183 
58      9       25      1 1 3 7 23 5 15 75 159 
59      9       44      1 1 5 15 21 3 99 23 465 
60      9       47      1 3 7 5 23 47 119 103 271 
61      9       52      1 3 1 11 25 13 83 5 21 
62      9       55      1 3 5 3 7 41 123 87 243 
63      9       59      1 1 3 11 3 7 91 227 349 
64      9       62      1 1 1 9 29 23 31 175 145 
65      9       67      1 1 7 7 13 25 67 59 109 
66      9       74      1 3 7 11 25 49 23 55 135 
67      9       81      1 3 5 7 27 61 5 193 375 
68      9       82      1 1 5 9 23 27 41 239 383 
69      9       87      1 1 3 15 3 43 81 77 91 
70      9       91      1 1 1 13 29 17 23 105 393 
71      9       94      1 3 3 3 27 41 89 79 295 
72      9       103     1 3 3 5 27 63 29 189 505 
73      9       104     1 1 3 7 23 63 117 75 165 
74      9       109     1 1 5 13 1 47 123 159 485 
75      9       122     1 3 5 1 23 27 125 45 351 
76      9       124     1 3 1 5 11 33 75 17 85 
77      9       137     1 3 7 9 23 31 33 91 131 
