d       s       a       m_i   
2       1       0       1 
3       2       1       1 3 
4       3       1       1 3 1 
5       3       2       1 1 1 
6       4       1       1 1 3 3 
7       4       4       1 3 5 13 
8       5       2       1 1 5 5 17 
9       5       4       1 1 5 5 5 
10      5       7       1 1 7 11 19 
11      5       11      1 1 5 1 1 
12      5       13      1 1 1 3 11 
13      5       14      1 3 5 5 31 
14      6       1       1 3 3 9 7 49 
15      6       13      1 1 1 15 23 17 
16      6       16      1 3 1 13 27 49 
17      6       19      1 1 1 15 7 5 
18      6       22      1 3 7 7 19 13 
19      6       25      1 1 5 5 19 59 
20      7       1       1 3 7 11 23 7 121 
21      7       4       1 3 5 13 9 19 113 
22      7       7       1 1 7 15 3 53 87 
23      7       8       1 3 7 7 25 33 41 
24      7       14      1 3 1 9 15 47 85 
25      7       19      1 1 7 3 5 25 37 
26      7       21      1 3 7 9 31 11 27 
27      7       28      1 1 7 15 1 17 121 
28      7       31      1 3 7 13 17 49 5 
29      7       32      1 3 5 9 7 9 31 
30      7       37      1 3 1 9 7 29 15 
31      7       41      1 3 1 1 23 43 37 
32      7       42      1 3 7 5 3 43 95 
33      7       50      1 1 7 9 31 25 91 
34      7       55      1 3 1 11 15 17 91 
35      7       56      1 1 1 1 21 29 71 
36      7       59      1 1 5 13 27 3 27 
37      7       62      1 3 1 9 31 25 3 
38      8       14      1 3 3 1 25 23 51 45 
39      8       21      1 1 5 13 9 25 17 227 
40      8       22      1 1 1 1 15 9 91 45 
41      8       38      1 1 7 7 9 35 87 31 
42      8       47      1 1 5 13 29 33 13 119 
43      8       49      1 3 5 3 17 9 73 85 
44      8       50      1 3 7 5 13 33 11 17 
45      8       52      1 1 3 13 29 25 15 75 
46      8       56      1 3 7 9 3 11 11 59 
47      8       67      1 3 1 13 5 27 19 71 
48      8       70      1 1 7 3 13 41 79 137 
49      8       84      1 3 3 7 9 41 89 63 
50      8       97      1 1 1 5 29 57 53 103 
51      8       103     1 1 3 9 3 41 71 119 
52      8       115     1 3 5 5 3 1 39 185 
53      8       122     1 3 3 15 23 3 43 95 
54      9       8       1 1 3 7 1 35 19 19 127 
55      9       13      1 1 3 9 9 31 9 157 105 
56      9       16      1 3 1 1 7 49 13 125 471 
57      9       22      1 3 3 1 17 25 111 73 41 
58      9       25      1 3 5 11 3 61 117 93 325 
59      9       44      1 1 7 15 21 63 103 145 61 
60      9       47      1 3 7 7 27 49 101 227 55 
61      9       52      1 1 7 5 1 1 33 225 501 
62      9       55      1 3 5 5 1 17 113 149 71 
63      9       59      1 1 5 9 27 9 97 7 35 
64      9       62      1 3 1 7 13 39 49 213 483 
65      9       67      1 3 3 11 13 47 43 89 329 
66      9       74      1 3 1 1 19 61 97 205 285 
67      9       81      1 1 3 11 11 3 105 151 469 
68      9       82      1 1 1 1 5 39 89 137 409 
69      9       87      1 1 3 11 23 39 85 251 141 
70      9       91      1 1 3 5 23 23 59 111 19 
71      9       94      1 3 5 9 19 63 1 251 305 
72      9       103     1 3 1 1 3 35 65 153 387 
73      9       104     1 1 5 13 21 45 37 255 295 
74      9       109     1 1 5 1 21 5 39 143 293 
75      9       122     1 1 1 5 21 45 91 211 347 
76      9       124     1 3 5 11 17 21 73 185 259 
77      9       137     1 3 1 11 29 25 85 103 97 
78      9       138     1 3 5 5 27 37 43 243 257 
79      9       143     1 3 5 11 31 63 105 41 229 
80      9       145     1 3 3 15 21 55 29 39 279 
81      9       152     1 3 5 7 1 47 97 15 173 
82      9       157     1 1 5 7 21 55 29 93 97 
83      9       167     1 3 3 3 7 29 27 179 105 
84      9       173     1 1 3 3 1 43 37 221 259 
85      9       176     1 1 7 9 31 25 1 47 71 
86      9       181     1 3 7 7 7 25 37 1 487 
87      9       182     1 3 1 1 31 43 25 117 147 
88      9       185     1 3 7 3 27 7 103 241 173 
89      9       191     1 1 5 1 27 25 91 189 53 
90      9       194     1 1 3 3 29 39 79 125 281 
91      9       199     1 1 5 11 13 57 15 219 407 
92      9       218     1 3 3 5 15 9 65 111 1 
93      9       220     1 1 5 3 31 45 17 227 67 
94      9       227     1 1 3 1 31 59 63 205 27 
95      9       229     1 1 1 9 27 9 49 187 451 
96      9       230     1 1 5 15 11 43 93 49 129 
97      9       234     1 3 7 7 5 63 31 239 11 
98      9       236     1 1 1 11 7 59 37 157 505 
99      9       241     1 3 5 9 3 41 87 229 269 
100     9       244     1 1 5 3 25 11 69 125 35 
101     9       253     1 3 5 13 11 53 47 21 79 
102     10      4       1 3 3 7 11 23 1 99 417 35 
103     10      13      1 1 7 7 7 53 57 229 473 533 
104     10      19      1 1 3 9 23 31 87 27 313 853 
105     10      22      1 3 3 1 13 43 27 227 231 91 
106     10      50      1 3 7 5 11 17 109 29 417 597 
107     10      55      1 3 7 7 31 5 23 137 35 583 
108     10      64      1 3 1 5 15 23 87 171 171 889 
109     10      69      1 3 3 7 17 21 19 233 275 651 
110     10      98      1 1 3 5 31 19 127 115 211 715 
111     10      107     1 1 5 3 13 5 37 83 123 567 
112     10      115     1 3 1 7 3 41 123 61 311 45 
113     10      121     1 1 5 5 19 27 1 159 87 155 
114     10      127     1 3 3 15 31 17 29 105 293 205 
115     10      134     1 1 1 13 15 11 125 241 1 755 
116     10      140     1 1 7 7 27 47 59 143 451 1005 
117     10      145     1 3 1 11 19 37 49 105 127 683 
118     10      152     1 1 1 1 11 31 9 15 355 951 
119     10      158     1 1 7 15 5 19 69 51 121 695 
120     10      161     1 3 1 9 15 33 125 63 191 773 
121     10      171     1 1 3 1 11 13 67 123 143 427 
122     10      181     1 3 7 7 17 45 73 209 501 781 
123     10      194     1 1 3 5 21 25 31 229 107 447 
124     10      199     1 3 3 5 15 39 19 111 221 35 
125     10      203     1 3 5 7 7 23 111 201 469 859 
126     10      208     1 3 1 9 7 55 1 57 245 865 
127     10      227     1 1 5 11 19 17 63 107 423 977 
128     10      242     1 1 3 5 23 35 59 143 403 469 
129     10      251     1 3 3 9 29 11 11 137 341 669 
130     10      253     1 3 5 5 31 29 73 25 21 543 
131     10      265     1 1 5 3 17 47 69 103 49 869 
132     10      266     1 1 3 9 1 5 69 45 73 533 
